Mesh Size,i3-370M Serial,i3-370M Parallel,i5-4210U Parallel,i7-2630QM Parallel
25,0.000195,0.000112,0.000648,0.00006
33,0.000415,0.002478,0.000925,0.000096
41,0.000766,0.000223,0.001608,0.000135
75,0.002327,0.002265,0.006143,0.000739
144,0.015817,0.005991,0.010579,0.01123
544,0.630275,0.309024,0.209555,0.116902
2173,40.413426,19.283026,11.97183,6.636739
3447,161.381916,76.948164,47.403249,24.503626
6084,890.467981,427.581916,259.603595,141.665447
13693,10079.206121,6045.163729,2939.631746,2003.69768
