meshSize; computationTime; ioTime; zerosTime; assemblingTime; dirichletTime; gaussTime; backTime; computationTimeCPU; ioTimeCPU; zerosTimeCPU; assemblingTimeCPU; dirichletTimeCPU; gaussTimeCPU; backTimeCPU
25; 0.000108; 0.000127; 0.000029; 0.000040; 0.000005; 0.000055; 0.000004; 0.000108; 0.000120; 0.000029; 0.000041; 0.000005; 0.000056; 0.000004
33; 0.000148; 0.000124; 0.000016; 0.000041; 0.000005; 0.000094; 0.000005; 0.000148; 0.000123; 0.000016; 0.000040; 0.000006; 0.000095; 0.000005
41; 0.000138; 0.000099; 0.000009; 0.000034; 0.000004; 0.000095; 0.000004; 0.000138; 0.000098; 0.000010; 0.000034; 0.000004; 0.000095; 0.000004
75; 0.000475; 0.000170; 0.000024; 0.000064; 0.000008; 0.000392; 0.000009; 0.000475; 0.000169; 0.000024; 0.000064; 0.000008; 0.000393; 0.000009
144; 0.002378; 0.000514; 0.000172; 0.000130; 0.000017; 0.002204; 0.000026; 0.002379; 0.000514; 0.000150; 0.000130; 0.000017; 0.002205; 0.000026
544; 0.071677; 0.001934; 0.000793; 0.000607; 0.000123; 0.070711; 0.000228; 0.071666; 0.001935; 0.000796; 0.000609; 0.000124; 0.070700; 0.000229
2173; 6.694963; 0.006357; 0.011587; 0.002011; 0.000550; 6.688209; 0.004182; 6.688811; 0.006347; 0.011570; 0.002013; 0.000551; 6.682056; 0.004187
3447; 26.412573; 0.005899; 0.024879; 0.003279; 0.001059; 26.397927; 0.010294; 26.387334; 0.005890; 0.024857; 0.003281; 0.001062; 26.372763; 0.010222
6084; 144.618973; 0.013478; 0.075757; 0.006387; 0.002371; 144.579151; 0.031050; 144.476767; 0.013462; 0.075683; 0.006351; 0.002375; 144.437009; 0.031025
13693; 1644.120261; 0.025677; 0.385129; 0.016559; 0.007565; 1643.940152; 0.155969; 1642.354966; 0.025665; 0.384585; 0.016555; 0.007555; 1642.174988; 0.155862
