meshSize, computationTime, ioTime, zerosTime, assemblingTime, dirichletTime, gaussTime, backTime, computationTimeCPU, ioTimeCPU, zerosTimeCPU, assemblingTimeCPU, dirichletTimeCPU, gaussTimeCPU, backTimeCPU
25, 0.000168, 0.000132, 0.012237, 0.000097, 0.000004, 0.000052, 0.000010, 0.000165, 0.000016, 0.007403, 0.000095, 0.000004, 0.000052, 0.000010
33, 0.000203, 0.000070, 0.000011, 0.000117, 0.000004, 0.000073, 0.000004, 0.000203, 0.000070, 0.000011, 0.000117, 0.000004, 0.000073, 0.000004
41, 0.000260, 0.000085, 0.000005, 0.000154, 0.000004, 0.000093, 0.000004, 0.000260, 0.000084, 0.000005, 0.000154, 0.000004, 0.000093, 0.000004
75, 0.000568, 0.000151, 0.000012, 0.000302, 0.000006, 0.000247, 0.000008, 0.000568, 0.000150, 0.000012, 0.000302, 0.000006, 0.000247, 0.000008
144, 0.001414, 0.000297, 0.000027, 0.000613, 0.000009, 0.000769, 0.000018, 0.001410, 0.000296, 0.000028, 0.000610, 0.000008, 0.000769, 0.000018
544, 0.027147, 0.001145, 0.000190, 0.002618, 0.000032, 0.024263, 0.000226, 0.026220, 0.001144, 0.000190, 0.002607, 0.000032, 0.023349, 0.000226
2173, 3.624581, 0.003062, 0.013939, 0.013164, 0.000234, 3.607739, 0.003432, 3.476409, 0.001503, 0.011178, 0.011999, 0.000235, 3.461648, 0.002522
3447, 13.862878, 0.004284, 0.019965, 0.017177, 0.000606, 13.837124, 0.007958, 13.507622, 0.000534, 0.018449, 0.017109, 0.000607, 13.486788, 0.003111
6084, 75.057399, 0.006809, 0.061615, 0.030381, 0.001438, 74.996138, 0.029424, 73.268078, 0.000850, 0.054067, 0.030349, 0.001441, 73.229886, 0.006395
13693, 855.765139, 0.019742, 0.306662, 0.071012, 0.004536, 855.542246, 0.147325, 834.412669, 0.002465, 0.279378, 0.070845, 0.004522, 834.315657, 0.021638
